product_category_name;nb_basket;somme_price;mean_price_basket
computers;181;222963.1299999998;1232
small_appliances_home_oven_and_coffee;75;47445.71000000001;633
home_appliances_2;231;110649.7399999999;479
agro_industry_and_commerce;182;72530.47000000002;399
musical_instruments;620;187788.43999999898;303
small_appliances;622;187907.25999999937;302
fixed_telephony;214;57824.20999999997;270
construction_tools_safety;165;39589.02000000004;240
air_conditioning;251;54723.160000000076;218
office_furniture;1272;273580.6999999971;215
watches_gifts;5604;1198185.2100000004;214
furniture_bedroom;95;20028.78000000001;211
construction_tools_construction;746;144550.18999999968;194
kitchen_dining_laundry_garden_furniture;246;46070.37000000006;187
cool_stuff;3616;620770.4900000012;172
home_construction;489;83010.12;170
industry_commerce_and_business;235;39669.610000000044;169
construction_tools_lights;243;40002.00000000005;165
costruction_tools_tools;97;15903.949999999992;164
furniture_living_room;420;68638.56000000019;163
music;38;6034.3499999999985;159
la_cuisine;13;2054.99;158
signaling_and_security;140;21509.230000000018;154
auto;3872;586585.7300000105;151
home_confort;397;58572.04000000023;148
consoles_games;1054;154927.26999999897;147
audio;349;50668.60000000011;145
baby;2868;410312.2000000044;143
health_beauty;8800;1255695.1299999692;143
security_and_services;2;283.28999999999996;142
garden_tools;3505;481009.9400000146;137
computers_accessories;6654;904361.9200000385;136
luggage_accessories;1030;140111.37999999835;136
costruction_tools_garden;192;25552.180000000037;133
sports_leisure;7673;979740.9200000401;128
;1457;183813.12999999765;126
perfumery;3146;396599.3100000013;126
pet_shop;1706;213766.62999999666;125
toys;3855;479808.54000000516;124
art;201;24167.639999999992;120
furniture_mattress_and_upholstery;38;4368.08;115
party_supplies;39;4485.18;115
furniture_decor;6425;727465.0500000408;113
bed_bath_table;9399;1036053.960000071;110
cine_photo;65;6933.459999999996;107
housewares;5847;626825.8000000208;107
home_appliances;762;80001.24000000006;105
market_place;279;28288.470000000096;101
stationery;2299;229593.8399999959;100
fashion_shoes;238;23352.88000000006;98
fashion_male_clothing;111;10748.81999999998;97
tablets_printing_image;79;7528.409999999996;95
books_general_interest;505;45622.29000000019;90
books_imported;53;4639.849999999998;88
fashion_bags_accessories;1858;151622.74999999773;82
dvds_blu_ray;57;4559.489999999996;80
arts_and_craftmanship;23;1814.0100000000002;79
fashion_sport;27;2119.510000000001;79
fashion_underwear_beach;121;9541.549999999987;79
telephony;4183;322342.63999998913;77
drinks;296;22378.71000000004;76
books_technical;260;19096.059999999983;73
fashio_female_clothing;39;2803.6400000000012;72
fashion_childrens_clothes;8;569.85;71
christmas_supplies;127;8787.82999999999;69
food_drink;225;15119.47999999998;67
food;449;29243.51000000016;65
electronics;2543;157079.53999999672;62
cds_dvds_musicals;12;730;61
diapers_and_hygiene;26;1538.79;59
flowers;29;1110.0399999999997;38
home_comfort_2;24;760.2699999999998;32
